2003-09-26,1.29,86812600
2003-09-29,1.33,91425600
2003-09-30,1.29,71356600
2003-10-01,1.3,59028200
2003-10-02,1.28,51014600
2003-10-03,1.35,74900000
2003-10-06,1.39,67082400
2003-10-07,1.45,104543600
2003-10-08,1.44,107167200
2003-10-09,1.46,86937200
2003-10-10,1.48,43709400
2003-10-13,1.52,69966400
2003-10-14,1.53,68854800
2003-10-15,1.55,152525800
2003-10-16,1.45,243920600
2003-10-17,1.42,89952800
2003-10-20,1.45,69783000
2003-10-21,1.44,44115400
2003-10-22,1.42,40399800
2003-10-23,1.43,41302800
2003-10-24,1.41,54964000
2003-10-27,1.41,40503400
2003-10-28,1.48,62928600
2003-10-29,1.48,66770200
2003-10-30,1.44,65139200
2003-10-31,1.43,54538400
2003-11-03,1.44,75710600
2003-11-04,1.43,62308400
2003-11-05,1.44,80617600
2003-11-06,1.44,99268400
2003-11-07,1.4,52536400
2003-11-10,1.37,58569000
2003-11-11,1.34,53768400
2003-11-12,1.39,75000800
2003-11-13,1.4,53193000
2003-11-14,1.34,59262000
2003-11-17,1.32,57064000
2003-11-18,1.27,66798200
2003-11-19,1.27,86146200
2003-11-20,1.27,59897600
2003-11-21,1.26,60459000
2003-11-24,1.32,95456200
2003-11-25,1.29,67163600
2003-11-26,1.29,61282200
2003-11-28,1.3,19024600
2003-12-01,1.35,90384000
2003-12-02,1.34,51324000
2003-12-03,1.31,47824000
2003-12-04,1.32,44485000
2003-12-05,1.3,46544400
2003-12-08,1.31,37059400
2003-12-09,1.27,33786200
2003-12-10,1.27,67834200
2003-12-11,1.32,45784200
2003-12-12,1.3,48168400
2003-12-15,1.26,97227200
2003-12-16,1.25,93489200
2003-12-17,1.24,68565000
2003-12-18,1.25,82728800
2003-12-19,1.23,113390200
2003-12-22,1.24,94266200
2003-12-23,1.23,77124600
2003-12-24,1.27,44368800
2003-12-26,1.3,25923800
2003-12-29,1.32,58364600
2003-12-30,1.33,51213400
2003-12-31,1.33,43612800
2004-01-02,1.33,36160600
2004-01-05,1.38,98754600
2004-01-06,1.38,127337000
2004-01-07,1.41,146718600
2004-01-08,1.46,115075800
2004-01-09,1.43,106864800
2004-01-12,1.48,121886800
